semana,bairro,crimes,lag_1,lag_2,lag_3,media_movel_4,tendencia_1,semana_ano,mes
2025-08-11,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,33,8
2025-08-18,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,34,8
2025-08-25,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,35,8
2025-09-01,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,36,9
2025-09-08,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,37,9
2025-09-15,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,38,9
2025-09-22,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,39,9
2025-09-29,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,40,9
2025-10-06,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,41,10
2025-10-13,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,42,10
2025-10-20,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,43,10
2025-10-27,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,44,10
2025-11-03,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,45,11
2025-11-10,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,46,11
2025-11-17,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,47,11
2025-11-24,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,48,11
2025-12-01,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,49,12
2025-12-08,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,50,12
2025-12-15,AEROLANDIA,1,0.0,0.0,0.0,0.0,0.0,51,12
2025-12-22,AEROLANDIA,0,1.0,0.0,0.0,0.25,1.0,52,12
2025-12-29,AEROLANDIA,0,0.0,1.0,0.0,0.25,-1.0,1,12
2026-01-05,AEROLANDIA,1,0.0,0.0,1.0,0.25,0.0,2,1
2026-01-12,AEROLANDIA,1,1.0,0.0,0.0,0.5,1.0,3,1
2026-01-19,AEROLANDIA,0,1.0,1.0,0.0,0.5,0.0,4,1
2026-01-26,AEROLANDIA,0,0.0,1.0,1.0,0.5,-1.0,5,1
2026-02-02,AEROLANDIA,0,0.0,0.0,1.0,0.5,0.0,6,2
2026-02-09,AEROLANDIA,0,0.0,0.0,0.0,0.25,0.0,7,2
2026-02-16,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,8,2
2026-02-23,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,9,2
2026-03-02,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,10,3
2026-03-09,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,11,3
2026-03-16,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,12,3
2026-03-23,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,13,3
2026-03-30,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,14,3
2026-04-06,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,15,4
2026-04-13,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,16,4
