hex_id,event_count,event_share,cumulative_share,selected
122,25,0.008051529790660225,0.7214170692431561,True
94,24,0.007729468599033816,0.7291465378421899,True
6,23,0.007407407407407408,0.7365539452495973,True
43,23,0.007407407407407408,0.7439613526570047,True
16,22,0.007085346215780998,0.7510466988727857,True
46,22,0.007085346215780998,0.7581320450885668,True
56,22,0.007085346215780998,0.7652173913043478,True
86,22,0.007085346215780998,0.7723027375201289,True
57,20,0.00644122383252818,0.7787439613526571,True
78,20,0.00644122383252818,0.7851851851851853,True
97,20,0.00644122383252818,0.7916264090177135,True
99,19,0.006119162640901771,0.7977455716586153,True
121,19,0.006119162640901771,0.803864734299517,True
9,18,0.005797101449275362,0.8096618357487924,True
54,18,0.005797101449275362,0.8154589371980677,True
55,18,0.005797101449275362,0.8212560386473431,True
58,18,0.005797101449275362,0.8270531400966185,True
85,18,0.005797101449275362,0.8328502415458938,True
2,17,0.005475040257648953,0.8383252818035428,True
111,17,0.005475040257648953,0.8438003220611918,True
127,17,0.005475040257648953,0.8492753623188408,True
69,16,0.0051529790660225444,0.8544283413848633,True
73,16,0.0051529790660225444,0.8595813204508859,True
125,16,0.0051529790660225444,0.8647342995169084,True
40,15,0.004830917874396135,0.8695652173913045,True
41,15,0.004830917874396135,0.8743961352657007,True
45,15,0.004830917874396135,0.8792270531400969,True
70,15,0.004830917874396135,0.884057971014493,True
72,15,0.004830917874396135,0.8888888888888892,True
109,15,0.004830917874396135,0.8937198067632853,True
47,14,0.0045088566827697265,0.898228663446055,True
61,14,0.0045088566827697265,0.9027375201288247,True
98,14,0.0045088566827697265,0.9072463768115944,True
112,13,0.004186795491143317,0.9114331723027377,True
126,13,0.004186795491143317,0.915619967793881,True
4,12,0.003864734299516908,0.9194847020933979,True
33,12,0.003864734299516908,0.9233494363929149,True
87,12,0.003864734299516908,0.9272141706924318,True
88,12,0.003864734299516908,0.9310789049919488,True
29,11,0.003542673107890499,0.9346215780998393,True
35,11,0.003542673107890499,0.9381642512077297,True
59,11,0.003542673107890499,0.9417069243156202,True
77,11,0.003542673107890499,0.9452495974235107,True
101,11,0.003542673107890499,0.9487922705314011,True
120,10,0.00322061191626409,0.9520128824476652,True
60,9,0.002898550724637681,0.9549114331723029,False
92,9,0.002898550724637681,0.9578099838969405,False
102,9,0.002898550724637681,0.9607085346215781,False
44,8,0.0025764895330112722,0.9632850241545894,False
71,8,0.0025764895330112722,0.9658615136876006,False
128,8,0.0025764895330112722,0.9684380032206119,False
129,8,0.0025764895330112722,0.9710144927536232,False
103,7,0.0022544283413848632,0.9732689210950081,False
17,6,0.001932367149758454,0.9752012882447665,False
18,6,0.001932367149758454,0.9771336553945249,False
96,6,0.001932367149758454,0.9790660225442833,False
105,6,0.001932367149758454,0.9809983896940417,False
118,6,0.001932367149758454,0.9829307568438002,False
131,6,0.001932367149758454,0.9848631239935586,False
53,5,0.001610305958132045,0.9864734299516906,False
95,5,0.001610305958132045,0.9880837359098227,False
119,5,0.001610305958132045,0.9896940418679547,False
19,4,0.0012882447665056361,0.9909822866344604,False
106,4,0.0012882447665056361,0.9922705314009661,False
113,4,0.0012882447665056361,0.9935587761674718,False
117,4,0.0012882447665056361,0.9948470209339775,False
124,4,0.0012882447665056361,0.9961352657004832,False
20,2,0.0006441223832528181,0.996779388083736,False
64,2,0.0006441223832528181,0.9974235104669888,False
107,2,0.0006441223832528181,0.9980676328502417,False
0,1,0.00032206119162640903,0.9983896940418681,False
10,1,0.00032206119162640903,0.9987117552334944,False
11,1,0.00032206119162640903,0.9990338164251208,False
52,1,0.00032206119162640903,0.9993558776167472,False
115,1,0.00032206119162640903,0.9996779388083735,False
116,1,0.00032206119162640903,0.9999999999999999,False
